Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
51,0,2,2,6,2,1,1,1,0,1,0,1,131160,1.0,0,11,8,0,1.0,6,1,0,0
31,1,1,1,10,1,1,1,2,0,1,6,2,41890,0.0,0,23,8,1,6.0,3,5,1,4
32,0,1,1,17,4,4,1,3,1,4,7,1,193280,1.0,0,15,8,3,5.0,2,5,0,3
38,0,0,1,2,5,1,1,4,1,3,1,1,83210,3.0,0,11,8,3,13.0,5,8,7,5
32,0,2,1,10,1,3,1,5,1,1,7,2,23420,4.0,0,12,8,2,9.0,2,6,0,4
46,0,2,1,8,3,1,1,6,0,4,5,1,40710,3.0,0,13,8,0,28.0,5,7,7,7
28,1,2,1,11,2,3,1,7,1,2,7,2,58130,2.0,0,20,8,1,5.0,2,0,0,0
29,0,2,1,18,3,1,1,8,1,2,7,1,31430,2.0,0,22,8,3,10.0,2,0,0,0
31,0,2,1,1,3,1,1,9,1,3,2,1,20440,0.0,0,21,8,0,10.0,2,9,7,8
25,0,0,1,7,4,3,1,10,0,4,2,0,134640,1.0,0,13,8,1,6.0,2,6,1,5
45,0,2,1,17,2,3,1,11,1,2,2,1,79910,0.0,0,13,8,2,21.0,2,20,4,10
36,0,2,1,28,1,1,1,12,1,1,2,1,33770,0.0,0,12,8,2,16.0,2,15,10,11
55,0,2,1,14,4,1,1,13,0,1,7,2,55380,0.0,0,17,8,0,37.0,2,36,4,13
47,1,0,1,1,1,3,1,14,1,1,6,1,57620,1.0,0,11,8,2,10.0,4,10,9,9
28,0,2,1,1,3,1,1,15,1,1,4,1,25920,1.0,0,14,8,0,5.0,2,5,0,4
37,0,2,1,1,3,1,1,16,1,2,0,1,53460,4.0,0,11,8,0,7.0,2,5,0,1
21,0,2,1,3,2,1,1,17,1,1,2,2,42130,1.0,0,12,8,3,3.0,3,3,1,0
37,0,0,1,1,3,3,1,18,1,2,7,0,41270,2.0,0,13,8,1,15.0,2,5,0,2
35,0,2,2,7,4,1,1,19,1,1,8,0,24380,7.0,0,16,8,0,10.0,5,7,6,2
38,0,2,1,8,3,1,1,20,0,1,3,0,68700,1.0,0,11,8,1,8.0,5,8,7,7
26,0,1,1,1,4,4,1,21,1,2,2,0,104470,1.0,0,18,8,0,6.0,3,6,1,4
50,0,2,2,8,4,1,1,22,1,1,6,0,96670,3.0,0,23,8,0,28.0,2,10,1,6
53,0,2,1,11,4,1,1,23,0,2,6,1,21480,3.0,0,11,8,0,21.0,2,5,1,3
42,0,2,1,4,4,1,1,24,1,1,4,1,89260,1.0,0,14,8,0,,4,20,11,6
29,0,1,1,16,4,3,1,25,1,1,2,2,65130,1.0,0,11,8,1,10.0,2,10,0,9
55,0,2,1,1,4,4,1,26,0,1,6,1,67990,3.0,0,11,8,0,12.0,2,10,0,8
26,0,1,1,9,3,1,1,27,0,1,3,1,162910,1.0,0,22,8,0,5.0,3,5,3,3
37,0,2,2,5,1,2,1,28,1,1,6,2,27050,1.0,0,11,8,0,17.0,2,17,5,7
44,1,1,1,1,2,3,1,29,1,2,6,0,103330,3.0,0,14,8,1,19.0,2,1,0,0
38,0,2,2,2,3,2,1,30,0,1,3,0,44480,9.0,0,12,8,0,10.0,3,2,1,2
26,1,2,1,4,3,3,1,31,1,3,6,0,68540,2.0,0,11,8,0,5.0,5,3,0,2
28,0,2,1,7,3,4,1,32,1,1,1,2,96370,1.0,0,13,8,0,5.0,6,5,0,2
49,0,1,1,1,1,3,1,33,0,2,6,2,35910,9.0,0,13,8,0,22.0,2,3,1,2
36,0,2,2,5,3,5,1,34,1,3,7,2,54050,4.0,0,14,8,0,10.0,2,8,7,7
31,0,1,1,9,4,3,1,35,1,1,7,0,46840,1.0,0,16,8,1,2.0,4,2,2,2
26,1,2,1,8,3,3,1,36,1,2,3,2,157870,1.0,0,12,8,2,8.0,5,8,7,4
37,0,1,2,9,1,2,1,37,1,1,2,1,15140,1.0,0,14,8,0,4.0,3,4,1,2
42,0,1,2,2,2,2,1,38,1,3,5,1,29560,5.0,0,13,8,0,23.0,2,20,4,8
18,1,2,1,1,4,1,1,39,1,1,7,2,23350,1.0,0,14,8,2,0.0,3,0,0,0
35,0,2,2,20,2,1,1,40,1,1,2,1,51540,0.0,0,19,8,0,12.0,2,11,6,9
36,0,1,1,8,3,4,1,41,0,3,7,1,69620,4.0,0,12,8,2,4.0,2,1,0,0
51,0,2,1,2,3,1,1,42,1,2,2,0,56750,5.0,0,13,8,0,13.0,2,4,1,2
41,0,2,1,29,1,1,1,43,1,1,2,2,23790,1.0,0,12,8,0,22.0,6,22,0,4
18,0,2,2,7,3,1,1,44,1,1,6,2,38120,1.0,0,15,8,0,0.0,3,0,0,0
28,0,2,1,9,3,3,1,45,1,1,8,2,46480,0.0,0,23,8,2,9.0,2,8,0,7
31,0,2,1,8,1,5,1,46,1,1,4,1,29360,4.0,0,12,8,1,10.0,2,8,7,7
39,0,2,2,5,4,2,1,47,0,2,1,0,21050,0.0,0,20,8,0,19.0,3,18,3,7
36,0,0,1,5,4,1,1,48,1,1,7,1,85780,7.0,0,21,8,0,11.0,4,9,0,8
32,0,2,2,2,3,2,1,49,1,2,2,1,27060,1.0,0,21,8,1,13.0,4,13,4,8
38,0,2,1,5,2,1,1,50,0,3,6,1,63840,3.0,0,19,8,2,19.0,4,10,0,1
58,0,0,1,2,3,1,1,51,1,2,4,0,39680,2.0,0,13,8,2,12.0,3,5,1,2
31,0,2,1,20,1,5,1,52,0,3,6,1,99070,0.0,0,13,8,1,6.0,3,5,0,3
31,0,2,2,7,4,2,1,53,1,2,7,1,132250,3.0,0,21,8,1,9.0,2,2,1,0
45,0,1,1,3,1,3,1,54,0,1,7,0,35400,1.0,0,13,8,0,24.0,6,24,9,11
31,0,2,2,16,4,2,1,55,0,2,6,0,28040,0.0,0,19,8,2,3.0,0,2,2,2
33,0,1,1,9,3,1,1,56,1,4,5,1,193920,6.0,0,12,8,1,12.0,3,10,8,8
39,0,2,2,1,4,1,1,57,1,1,7,1,196650,1.0,0,22,8,1,21.0,6,21,11,10
43,0,1,1,7,4,3,1,58,1,4,6,2,24390,0.0,0,15,8,0,9.0,2,8,1,7
49,0,2,1,1,3,1,1,59,1,3,4,2,73140,7.0,0,22,8,0,25.0,2,7,0,7
52,1,2,1,7,1,1,1,60,0,2,6,1,47740,2.0,0,18,8,1,11.0,2,8,7,7
27,0,2,1,15,4,3,1,61,1,3,6,2,39020,1.0,0,22,8,0,4.0,2,4,1,2
32,0,2,1,1,3,1,1,62,1,3,6,1,26620,1.0,0,11,8,1,13.0,6,13,11,9
27,0,2,1,13,2,3,1,63,0,4,5,2,28560,1.0,0,12,8,2,5.0,5,5,0,4
31,0,2,2,24,3,1,1,64,1,2,0,0,10810,4.0,0,11,8,3,13.0,4,7,1,7
32,0,2,1,7,3,5,1,65,1,2,0,2,24720,7.0,0,13,8,0,10.0,2,7,0,7
28,1,2,1,9,4,3,1,66,1,1,7,1,56730,5.0,0,14,8,1,5.0,4,3,2,2
30,0,2,1,13,3,1,1,67,0,4,5,1,41970,1.0,0,13,8,0,11.0,3,10,1,9
31,0,1,1,2,1,1,1,68,0,1,3,1,97130,1.0,0,17,8,0,10.0,5,10,8,9
39,0,1,1,19,4,3,1,69,0,1,6,1,20620,1.0,0,13,8,0,21.0,4,21,13,3
39,1,2,1,1,1,3,1,70,0,1,2,1,42840,4.0,0,17,8,1,12.0,0,1,0,0
33,0,1,2,4,2,1,1,71,1,4,6,2,47880,3.0,0,11,8,1,9.0,0,7,0,1
47,0,2,1,4,3,1,1,72,0,2,0,1,59060,4.0,0,23,8,0,21.0,4,3,1,1
43,0,1,1,14,3,3,1,73,0,5,5,0,38860,1.0,0,17,8,2,9.0,2,9,0,0
27,0,0,1,2,3,1,1,74,1,1,5,1,168230,0.0,0,17,8,0,6.0,3,5,1,4
54,0,1,1,1,4,1,1,75,1,2,6,2,29330,3.0,0,12,8,2,20.0,2,4,0,3
43,0,2,1,7,2,1,1,76,0,2,3,1,65000,8.0,0,23,8,0,10.0,3,1,0,0
45,0,2,2,3,1,2,1,77,0,1,7,1,171740,9.0,0,14,8,1,12.0,6,10,9,8
